0	0	0	0	0	0	0.333333	0.125	0.142857	0.428571	
0.857143	0.857143	0.5	0.625	0.375	0.444444	0.222222	0.571429	0.2	0.375	
0.857143	0.857143	0.555556	0.5	0.875	0.454545	0.75	0.875	0.153846	0.416667	
0.875	0.875	0.875	0.777778	0.777778	0.75	0.75	0.75	0.875	0.357143	
0.875	0.875	0.875	0.875	0.875	0.666667	1	0.75	0.555556	0.857143	
1	1	1	0.875	0.888889	0.875	0.666667	0.666667	0.333333	0.384615	
0.875	0.875	0.875	0.666667	0.666667	0.6	0.666667	0.75	0.857143	0.625	
0.714286	0.714286	0.714286	0.857143	0.714286	0.666667	0.714286	0.666667	0.428571	0.571429	
0.75	0.4	0.75	0.333333	0.142857	0.0909091	0	0	0.0588235	0.0526316	
0	0	0	0	0	0	0	0	0	100	

0	0	0	0	0.142857	0	0.285714	0.285714	0.428571	0.125	
0.571429	0.857143	0.5	0.857143	0.714286	0.571429	0.714286	0.666667	0.625	0.333333	
0.857143	0.857143	0.857143	0.857143	0.857143	0.857143	0.666667	0.75	0.363636	0.625	
0.875	0.875	0.875	0.666667	0.875	0.777778	0.777778	0.875	0.75	0.6	
0.875	0.875	0.875	0.875	0.875	0.6	0.666667	0.454545	0.666667	0.666667	
1	0.875	0.75	0.875	0.75	0.545455	0.777778	0.875	0.875	0.666667	
0.875	0.875	0.875	0.75	0.875	0.875	0.857143	0.307692	0.857143	0.875	
0.857143	0.857143	0.857143	0.833333	0.833333	0.714286	0.375	0.363636	0.833333	0.6	
0.4	0.4	0.4	0.333333	0.181818	0.0909091	0	0	0.0625	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0.2	0	0	0.166667	0.4	0.166667	
0.857143	0.833333	0.857143	0.625	0.3	0.571429	0.625	0.714286	0.714286	0.272727	
0.857143	0.857143	0.857143	0.714286	0.857143	0.5	0.875	0.5	0.6	0.6	
0.875	0.875	0.875	0.75	0.75	0.875	0.6	0.714286	0.777778	0.6	
0.875	0.875	0.875	0.875	0.75	0.666667	1	0.75	0.416667	0.6	
1	0.857143	0.75	0.666667	0.777778	0.4	0.5	0.777778	0.7	0.272727	
0.875	0.875	0.875	0.875	0.75	0.777778	0.857143	0.625	0.666667	0.857143	
0.857143	0.857143	0.714286	0.833333	0.571429	0.714286	0.714286	0.833333	0.666667	0.5	
0.75	0.4	0.5	0.166667	0.142857	0.0833333	0.0714286	0	0.0625	0	
0	0	0	0	0	0	0	0	100	0	

0	0	0	0.166667	0.166667	0	0.142857	0.142857	0.5	0.8	
0.5	0.714286	0.5	0.714286	0.571429	0.75	0.625	0.2	0.5	0.375	
0.857143	0.857143	0.857143	0.625	0.857143	0.857143	0.363636	0.545455	0.7	0.363636	
0.875	0.875	0.875	0.666667	0.875	0.777778	0.875	0.5	0.666667	0.777778	
0.875	0.875	0.875	0.6	0.75	1	0.777778	0.666667	0.6	0.272727	
0.875	0.857143	0.857143	0.857143	0.75	0.666667	0.875	0.444444	0.6	0.5	
0.875	0.875	0.875	0.875	0.75	0.75	0.75	0.75	0.625	0.428571	
0.857143	0.857143	0.714286	0.833333	0.833333	0.444444	0.833333	0.833333	0.375	0.8	
0.5	0.4	0.5	0.1	0.0909091	0.0909091	0	0	0	0	
0	0	0	0	0	0	0	0	0	100	

0	0	0	0	0.2	0.166667	0.166667	0.2	0.142857	0.285714	
0.714286	0.857143	0.571429	0.857143	0.625	0.5	0.625	0.333333	0.333333	0.625	
0.857143	0.857143	0.75	0.857143	0.777778	0.625	0.625	0.444444	0.777778	0.666667	
0.875	0.875	0.875	0.875	0.875	0.666667	0.384615	0.75	0.777778	0.75	
0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.6	0.636364	0.666667	
0.857143	0.857143	0.857143	0.875	0.875	0.875	0.875	0.666667	0.363636	0.6	
0.875	0.875	0.875	0.875	0.75	0.75	0.555556	0.625	0.25	0.333333	
0.857143	0.857143	0.714286	0.714286	0.833333	0.5	0.5	0.571429	0.833333	0.571429	
0.8	0.333333	0.4	0.2	0.0909091	0.0909091	0	0	0	0	
0	0	0	0	0	0	100	0	0	0	

0	0	0	0.166667	0.709524	0.166667	0.928571	0.920238	1.61429	1.80595	
3.5	4.11905	2.92857	3.67857	2.58571	2.8373	2.81151	2.48571	2.37262	1.98106	
4.28571	4.28571	3.87698	3.55357	4.22421	3.29383	3.2803	3.1149	2.59526	2.67197	
4.375	4.375	4.375	3.73611	4.15278	3.84722	3.38739	3.58929	3.84722	3.08492	
4.375	4.375	4.375	4.1	4.125	3.80833	4.31944	3.22121	2.87525	3.0632	
4.73214	4.44643	4.21429	4.14881	4.04167	3.36212	3.69444	3.43056	2.87197	2.42401	
4.375	4.375	4.375	4.04167	3.79167	3.75278	3.68651	3.05769	3.25595	3.11905	
4.14286	4.14286	3.71429	4.07143	3.78571	3.03968	3.1369	3.2684	3.1369	3.04286	
3.2	1.93333	2.55	1.13333	0.649351	0.44697	0.0714286	0	0.183824	0.0526316	
0	0	0	0	0	0	100	0	100	200	
